date,point_index,time_label,load_kw,pv_actual_kw
2025-01-01,1,00:10,3529.7296,0
2025-01-01,2,00:20,3609.5287,0
2025-01-01,3,00:30,3726.56,0
2025-01-01,4,00:40,3510.6311,0
2025-01-01,5,00:50,3502.5625,0
2025-01-01,6,01:00,3787.01,0
2025-01-01,7,01:10,3900.3205,0
2025-01-01,8,01:20,3916.8376,0
2025-01-01,9,01:30,3817.28,0
2025-01-01,10,01:40,3533.0136,0
2025-01-01,11,01:50,3694.6613,0
2025-01-01,12,02:00,4064.73,0
2025-01-01,13,02:10,3810.671,0
2025-01-01,14,02:20,3844.9495,0
2025-01-01,15,02:30,4234.62,0
2025-01-01,16,02:40,4109.9755,0
2025-01-01,17,02:50,3996.8945,0
2025-01-01,18,03:00,4102.19,0
2025-01-01,19,03:10,4086.0577,0
2025-01-01,20,03:20,4133.7626,0
2025-01-01,21,03:30,4179.18,0
2025-01-01,22,03:40,3953.3711,0
2025-01-01,23,03:50,3910.7496,0
2025-01-01,24,04:00,4099.31,0
2025-01-01,25,04:10,4123.8623,0
2025-01-01,26,04:20,4169.0068,0
2025-01-01,27,04:30,4260.24,0
2025-01-01,28,04:40,4217.2222,0
2025-01-01,29,04:50,4261.857,0
2025-01-01,30,05:00,4341.9,0
2025-01-01,31,05:10,4208.2208,0.0021
2025-01-01,32,05:20,4302.1233,0
2025-01-01,33,05:30,4456.59,0
2025-01-01,34,05:40,4148.637,0.0299
2025-01-01,35,05:50,4498.1333,0
2025-01-01,36,06:00,5369.38,0
2025-01-01,37,06:10,5440.8991,0.4169
2025-01-01,38,06:20,5316.893,0
2025-01-01,39,06:30,5399.82,0
2025-01-01,40,06:40,5447.4007,5.8062
2025-01-01,41,06:50,5444.401,0
2025-01-01,42,07:00,5433.63,3.075
2025-01-01,43,07:10,5449.2818,175.7953
2025-01-01,44,07:20,5510.0042,421.496
2025-01-01,45,07:30,5476,677.1
2025-01-01,46,07:40,5329.4215,950.8112
2025-01-01,47,07:50,6084.1163,1255.5705
2025-01-01,48,08:00,7316,1592.2875
2025-01-01,49,08:10,7469.4947,1937.5212
2025-01-01,50,08:20,7225.691,2225.1261
2025-01-01,51,08:30,7216.13,2490.1125
2025-01-01,52,08:40,7361.7004,2826.3146
2025-01-01,53,08:50,7275.513,3122.1315
2025-01-01,54,09:00,7077.29,3350.9625
2025-01-01,55,09:10,7221.8762,3601.7977
2025-01-01,56,09:20,7229.5513,3875.6352
2025-01-01,57,09:30,7099.33,4149.825
2025-01-01,58,09:40,7297.1521,4403.4802
2025-01-01,59,09:50,7313.1756,4624.7505
2025-01-01,60,10:00,7099.46,4836.6375
2025-01-01,61,10:10,7125.5214,5080.7024
2025-01-01,62,10:20,7096.3104,5338.7528
2025-01-01,63,10:30,6986.17,5494.725
2025-01-01,64,10:40,7098.9702,5437.9778
2025-01-01,65,10:50,7193.993,5396.2126
2025-01-01,66,11:00,7135.18,5372.1
2025-01-01,67,11:10,7042.947,5182.9722
2025-01-01,68,11:20,7069.1675,5131.5011
2025-01-01,69,11:30,7129.17,5294.775
2025-01-01,70,11:40,6971.0393,5434.7444
2025-01-01,71,11:50,6648.4937,5455.5011
2025-01-01,72,12:00,6471.29,5331.7125
2025-01-01,73,12:10,6681.1855,5126.6533
2025-01-01,74,12:20,6585.2714,5118.4895
2025-01-01,75,12:30,6283.97,5302.575
2025-01-01,76,12:40,6547.9322,5399.7996
2025-01-01,77,12:50,6747.6789,5377.6488
2025-01-01,78,13:00,6682.36,5261.8125
2025-01-01,79,13:10,6790.9628,5097.6164
2025-01-01,80,13:20,6916.0165,5029.4534
2025-01-01,81,13:30,6834.78,5043.8625
2025-01-01,82,13:40,6546.5252,4973.5844
2025-01-01,83,13:50,6539.873,4769.7524
2025-01-01,84,14:00,6773.97,4478.625
2025-01-01,85,14:10,6736.8117,4209.3909
2025-01-01,86,14:20,6623.3813,4060.4316
2025-01-01,87,14:30,6548.98,3934.425
2025-01-01,88,14:40,6398.5627,3648.1229
