date,planned_kwh,executed_normal_kwh,planned_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,cash_cost_yuan,emergency_kwh,unused_kwh,charge_kwh,discharge_kwh,up_kwh,down_kwh,initial_kwh,terminal_kwh,solver_runtime_s
2025-02-01,49821.27274850602,47182.771722030084,21564.93924639082,-626.249178346055,526.862928090894,21465.55299613566,125.38740793775742,8948.408817763615,20955.654625636278,16974.08024676539,0.0,2638.5010264759358,6000.000000000004,6000.000000000002,0.1303191999977571
2025-02-02,94362.5663052955,91637.93220867268,66564.35672027004,-1105.5223769541542,194.7466226042996,65653.58096592018,35.193660339117855,8755.028520100564,24009.575783743283,19447.756384832057,0.0,2724.6340966228436,6000.000000000002,6000.000000000002,0.12281499999880907
2025-02-03,95142.30111125018,90310.1233604789,68415.22855663027,-2074.8328380562666,1129.1640564527752,67469.55977502679,231.48904847663005,5834.418214066353,23633.040499416682,19142.762804527516,0.0,4832.177750771282,6000.000000000002,6000.0,0.12701910000032512
2025-02-04,96339.88098707645,92093.91360127201,69703.8080166352,-1873.9186367645348,631.7666854476663,68461.65606531834,206.6771381185457,6463.229375965035,24434.196912765852,19791.699499340342,0.0,4245.967385804448,6000.0,5999.999999999996,0.13136870000016643
2025-02-05,90144.32391394473,89550.84589730084,63925.74187409439,-272.74350800727865,1803.636542178867,65456.63490826598,376.1207085068625,4542.098391059399,24402.322270605113,19765.881039190142,1.3782999999998538,594.8563166438787,5999.999999999996,6000.0,0.14757169999938924
2025-02-06,95516.50875990931,88451.70223271372,68653.02871923234,-3145.3798103271893,1676.4908072062094,67184.13971611136,376.1793990478968,3919.7428019002473,24405.692701024782,19768.61108783007,0.0,7064.80652719559,6000.0,6000.000000000002,0.1407720999995945
2025-02-07,47160.02657822012,43195.96808844127,19799.187275786622,-833.7779636726716,179.62002499580882,19145.02933710976,33.26443005327258,7522.189773867287,20533.48988400307,16632.126806042488,0.0,3964.0584897788517,6000.000000000002,6000.0,0.14400739999837242
2025-02-08,38276.72548980823,38444.9077738555,15900.36616401939,167.87906274564477,2086.691624192119,18154.936850957154,581.6902509666418,3809.848488299524,19155.720104504984,15516.133284649037,168.18228404726608,0.0,6000.0,6000.000000000002,0.14807659999496536
2025-02-09,90100.60708037065,88330.09764729565,63372.57813907595,-803.1768929669536,1819.4499064858371,64388.851152594834,402.56305489596014,4607.477650294382,24051.405711739742,19481.63862650919,0.0,1770.5094330750032,6000.000000000002,6000.000000000002,0.14333350000379141
2025-02-10,86336.83604133976,82098.77139008825,58789.331102256896,-1718.8622055611377,2102.9586471599623,59173.42754385572,662.7174172465275,3980.80304979917,23442.358811590988,18988.3106373887,0.0,4238.064651251505,6000.000000000002,6000.0,0.14399319999938598
2025-02-11,87152.35114446373,82163.25204502905,60329.01957199283,-2165.9476875864943,2005.979620862065,60169.051505268406,407.76110518417863,3009.500055419431,22846.92611294973,18506.010151489278,0.0,4989.099099434695,6000.0,6000.000000000002,0.14152249999824562
2025-02-12,87507.774246305,82315.27462427798,60126.48451992972,-2169.294628965228,1768.9268452965748,59726.11673626107,374.09740302976644,2985.2064672476276,23354.89171961468,18917.462292887896,0.0,5192.499622027016,6000.000000000002,6000.0,0.1410675000079209
2025-02-13,81603.6338450081,78825.9517363563,54659.62866362419,-992.2906023046457,2324.119661620019,55991.457722939565,631.7312116782044,3761.2406632767043,22984.017200479677,18617.053932388535,89.2127189290511,2866.8948275808484,6000.0,6000.0,0.14412650000303984
2025-02-14,39405.39005542453,39794.70760648063,16181.345367081303,413.67050831873826,1155.7883368617681,17750.80421226181,352.8164963738395,6717.6917851781645,19094.897373734922,15466.86687272528,412.8309885506353,23.513437494532468,6000.0,6000.0,0.14089789999707136
2025-02-15,40308.606605893394,39862.79256039902,17220.450798771155,-141.78854702008425,1179.334812976098,18257.99706472717,344.9595079256193,6873.268734389929,21338.906494393224,17284.514260458505,0.0,445.8140454943666,6000.0,6000.000000000002,0.13828490000378224
