date,decision_hour,interval,is_executed_version,original_Q_kwh,R_kwh,C_kwh,D_kwh
2025-02-01,0,00:00-00:10,1,1414.143975997172,1414.143975997172,833.3333333333333,0.0
2025-02-01,0,00:10-00:20,1,1425.4356109715918,1425.4356109715918,833.3333333333333,0.0
2025-02-01,0,00:20-00:30,1,1436.3607642613483,1436.3607642613483,833.3333333333333,0.0
2025-02-01,0,00:30-00:40,1,1433.8651760959583,1433.8651760959583,833.3333333333333,0.0
2025-02-01,0,00:40-00:50,1,1448.7291719874606,1448.7291719874606,833.3333333333333,0.0
2025-02-01,0,00:50-01:00,1,1455.0629049518407,1455.0629049518407,833.3333333333333,0.0
2025-02-01,0,01:00-01:10,1,1287.144695401214,1287.144695401214,651.3374594235413,0.0
2025-02-01,0,01:10-01:20,1,1456.2033582422537,1456.2033582422537,833.3333333333333,0.0
2025-02-01,0,01:20-01:30,1,1466.038079786138,1466.038079786138,833.3333333333333,0.0
2025-02-01,0,01:30-01:40,1,642.6040609552791,642.6040609552791,0.0,0.0
2025-02-01,0,01:40-01:50,1,631.3149901984881,631.3149901984881,0.0,0.0
2025-02-01,0,01:50-02:00,1,1474.5402543688656,1474.5402543688656,833.3333333333333,0.0
2025-02-01,0,02:00-02:10,1,1463.8913174498916,1463.8913174498916,833.3333333333333,0.0
2025-02-01,0,02:10-02:20,1,645.6750412552593,645.6750412552593,0.0,0.0
2025-02-01,0,02:20-02:30,1,642.9878301262801,642.9878301262801,0.0,0.0
2025-02-01,0,02:30-02:40,1,645.6381526744998,645.6381526744998,0.0,0.0
2025-02-01,0,02:40-02:50,1,657.6940559659395,657.6940559659395,0.0,0.0
2025-02-01,0,02:50-03:00,1,673.5750893987721,673.5750893987721,0.0,0.0
2025-02-01,0,03:00-03:10,1,645.4236921310519,645.4236921310519,0.0,0.0
2025-02-01,0,03:10-03:20,1,652.105317143972,652.105317143972,0.0,0.0
2025-02-01,0,03:20-03:30,1,671.3757807662676,671.3757807662676,0.0,0.0
2025-02-01,0,03:30-03:40,1,649.9630326456952,649.9630326456952,0.0,0.0
2025-02-01,0,03:40-03:50,1,655.0125798857207,655.0125798857207,0.0,0.0
2025-02-01,0,03:50-04:00,1,691.204598361163,691.204598361163,0.0,0.0
2025-02-01,0,04:00-04:10,1,686.7831208335916,686.7831208335916,0.0,0.0
2025-02-01,0,04:10-04:20,1,697.9063735093736,697.9063735093736,0.0,0.0
2025-02-01,0,04:20-04:30,1,700.4787380298015,700.4787380298015,0.0,0.0
2025-02-01,0,04:30-04:40,1,696.1519435632781,696.1519435632781,0.0,0.0
2025-02-01,0,04:40-04:50,1,676.1181785953089,676.1181785953089,0.0,0.0
2025-02-01,0,04:50-05:00,1,673.2058872424562,673.2058872424562,0.0,0.0
2025-02-01,0,05:00-05:10,1,692.3298046173871,692.3298046173871,0.0,0.0
2025-02-01,0,05:10-05:20,1,716.616405619556,716.616405619556,0.0,0.0
2025-02-01,0,05:20-05:30,1,1554.9691922418888,1554.9691922418888,833.3333333333333,0.0
2025-02-01,0,05:30-05:40,1,1521.392224627206,1521.392224627206,833.3333333333333,0.0
2025-02-01,0,05:40-05:50,1,754.504999273748,754.504999273748,0.0,-0.0
2025-02-01,0,05:50-06:00,1,325.9570378349489,325.9570378349489,0.0,540.1155734892092
2025-02-01,0,06:00-06:10,0,51.668146961425464,51.668146961425464,0.0,833.3333333333333
2025-02-01,0,06:10-06:20,0,871.6074973427909,871.6074973427909,0.0,0.0
2025-02-01,0,06:20-06:30,0,884.3779786005616,884.3779786005616,0.0,0.0
2025-02-01,0,06:30-06:40,0,874.8570857230865,874.8570857230865,0.0,0.0
2025-02-01,0,06:40-06:50,0,885.4856252781274,885.4856252781274,0.0,0.0
2025-02-01,0,06:50-07:00,0,844.4472286873942,844.4472286873942,0.0,0.0
2025-02-01,0,07:00-07:10,0,802.4143790058179,802.4143790058179,0.0,0.0
2025-02-01,0,07:10-07:20,0,757.5140806057188,757.5140806057188,0.0,0.0
2025-02-01,0,07:20-07:30,0,698.4783130824364,698.4783130824364,0.0,0.0
2025-02-01,0,07:30-07:40,0,1461.1254061634759,1461.1254061634759,833.3333333333333,0.0
2025-02-01,0,07:40-07:50,0,686.2726120396076,686.2726120396076,0.0,0.0
2025-02-01,0,07:50-08:00,0,10.35691624488868,10.35691624488868,0.0,833.3333333333333
2025-02-01,0,08:00-08:10,0,0.0,0.0,0.0,804.5221141593195
2025-02-01,0,08:10-08:20,0,0.0,0.0,0.0,725.3690353035097
2025-02-01,0,08:20-08:30,0,0.0,0.0,0.0,693.9486129073077
2025-02-01,0,08:30-08:40,0,0.0,0.0,0.0,641.7919517109244
2025-02-01,0,08:40-08:50,0,0.0,0.0,0.0,602.9168161250627
