date,interval,load_kw,pv_actual_kw,price_yuan_per_kwh,Q,R,C,D,E,U,normal_fee,S_start_kwh,S_end_kwh
2025-02-01,00:00-00:10,2532.1822,0.0,0.4248,1414.143975997172,1414.143975997172,833.3333333333333,0.0,0.0,158.7802759971721,600.7283610035987,1213.7962865188128,1963.7962865188128
2025-02-01,00:10-00:20,2492.4439,0.0,0.4245,1425.4356109715918,1425.4356109715918,833.3333333333333,0.0,0.0,176.69496097159185,605.0974168574407,1963.7962865188128,2713.796286518813
2025-02-01,00:20-00:30,2464.3,0.0,0.4269,1436.3607642613483,1436.3607642613483,833.3333333333333,0.0,0.0,192.31076426134837,613.1824102631696,2713.796286518813,3463.796286518813
2025-02-01,00:30-00:40,2581.7688,0.0,0.4272,1433.8651760959583,1433.8651760959583,833.3333333333333,0.0,0.0,170.23704276262515,612.5472032281934,3463.796286518813,4213.796286518813
2025-02-01,00:40-00:50,2546.4635,0.0,0.4271,1448.7291719874606,1448.7291719874606,833.3333333333333,0.0,0.0,190.98525532079407,618.7522293558444,4213.796286518813,4963.796286518813
2025-02-01,00:50-01:00,2436.31,0.0,0.4285,1455.0629049518407,1455.0629049518407,833.3333333333333,0.0,0.0,215.67790495184067,623.4944547718637,4963.796286518813,5713.796286518813
2025-02-01,01:00-01:10,2620.5011,0.0,0.4311,1287.144695401214,1287.144695401214,651.3374594235413,0.0,0.0,199.05705264433936,554.8880781874633,5713.796286518813,6300.0
2025-02-01,01:10-01:20,2710.7861,0.0,0.4302,1456.2033582422537,1456.2033582422537,833.3333333333333,0.0,0.0,171.0723415755872,626.4586847158175,6300.0,7050.0
2025-02-01,01:20-01:30,2676.48,0.0,0.4279,1466.038079786138,1466.038079786138,833.3333333333333,0.0,0.0,186.62474645280486,627.3176943404885,7050.0,7800.0
2025-02-01,01:30-01:40,2830.598,0.0,0.4312,642.6040609552791,642.6040609552791,0.0,0.0,0.0,170.83772762194582,277.0908710839164,7800.0,7800.0
2025-02-01,01:40-01:50,2688.1558,0.0,0.4333,631.3149901984881,631.3149901984881,0.0,0.0,0.0,183.28902353182144,273.5487852530049,7800.0,7800.0
2025-02-01,01:50-02:00,2384.42,0.0,0.4311,1474.5402543688656,1474.5402543688656,833.3333333333333,0.0,0.0,243.8035877021989,635.6743036584179,7800.0,8550.0
2025-02-01,02:00-02:10,2604.5438,0.0,0.4293,1463.8913174498916,1463.8913174498916,833.3333333333333,0.0,0.0,196.46735078322513,628.4485425812385,8550.0,9300.0
2025-02-01,02:10-02:20,2943.3655,0.0,0.4324,645.6750412552593,645.6750412552593,0.0,0.0,0.0,155.1141245885927,279.18988783877415,9300.0,9300.0
2025-02-01,02:20-02:30,3019.32,0.0,0.4367,642.9878301262801,642.9878301262801,0.0,0.0,0.0,139.76783012628005,280.7927854161465,9300.0,9300.0
2025-02-01,02:30-02:40,2844.4369,0.0,0.4348,645.6381526744998,645.6381526744998,0.0,0.0,0.0,171.56533600783308,280.72346878287254,9300.0,9300.0
2025-02-01,02:40-02:50,2768.3064,0.0,0.4335,657.6940559659395,657.6940559659395,0.0,0.0,0.0,196.3096559659395,285.11037326123477,9300.0,9300.0
2025-02-01,02:50-03:00,2861.65,0.0,0.4357,673.5750893987721,673.5750893987721,0.0,0.0,0.0,196.63342273210543,293.476666451045,9300.0,9300.0
2025-02-01,03:00-03:10,2900.3973,0.0,0.4374,645.4236921310519,645.4236921310519,0.0,0.0,0.0,162.02414213105186,282.3083229381221,9300.0,9300.0
2025-02-01,03:10-03:20,2919.6115,0.0,0.4371,652.105317143972,652.105317143972,0.0,0.0,0.0,165.50340047730532,285.0352341236302,9300.0,9300.0
2025-02-01,03:20-03:30,2993.09,0.0,0.4356,671.3757807662676,671.3757807662676,0.0,0.0,0.0,172.5274474329342,292.4512901017861,9300.0,9300.0
2025-02-01,03:30-03:40,3109.8584,0.0,0.4353,649.9630326456952,649.9630326456952,0.0,0.0,0.0,131.6532993123618,282.92890811067116,9300.0,9300.0
2025-02-01,03:40-03:50,3054.8008,0.0,0.436,655.0125798857207,655.0125798857207,0.0,0.0,0.0,145.87911321905403,285.5854848301742,9300.0,9300.0
2025-02-01,03:50-04:00,2901.7,0.0,0.4378,691.204598361163,691.204598361163,0.0,0.0,0.0,207.58793169449638,302.60937316251716,9300.0,9300.0
2025-02-01,04:00-04:10,2947.1208,0.0,0.4401,686.7831208335916,686.7831208335916,0.0,0.0,0.0,195.59632083359162,302.25325147886366,9300.0,9300.0
2025-02-01,04:10-04:20,3027.8717,0.0,0.4389,697.9063735093736,697.9063735093736,0.0,0.0,0.0,193.26109017604023,306.3111073332641,9300.0,9300.0
2025-02-01,04:20-04:30,3033.47,0.0,0.4364,700.4787380298015,700.4787380298015,0.0,0.0,0.0,194.90040469646823,305.6889212762054,9300.0,9300.0
2025-02-01,04:30-04:40,3019.3858,0.0,0.4393,696.1519435632781,696.1519435632781,0.0,0.0,0.0,192.92097689661142,305.8195488073481,9300.0,9300.0
2025-02-01,04:40-04:50,3017.0819,0.0014,0.4422,676.1181785953089,676.1181785953089,0.0,0.0,0.0,173.27142859530892,298.9794585748456,9300.0,9300.0
2025-02-01,04:50-05:00,2997.85,0.0,0.4395,673.2058872424562,673.2058872424562,0.0,0.0,0.0,173.5642205757896,295.87398744305955,9300.0,9300.0
