date,planned_kwh,adjusted_normal_kwh,emergency_kwh,original_plan_fee_yuan,up_surcharge_yuan,down_refund_yuan,final_normal_fee_yuan,emergency_fee_yuan,total_fee_yuan,initial_kwh,terminal_kwh,unused_kwh
2025-02-01,94173.3601390311,90727.60855205779,0.0,58084.84670797498,0.0,1315.2137949066291,56769.63291306836,0.0,56769.63291306836,1213.7962865188128,6000.000000000002,46467.26442776144
2025-02-02,89808.9408787239,86087.79245779922,511.3334553854573,56238.898942613414,0.0,1239.6633289224071,54999.23561369101,2724.02430849538,57723.25992218639,6000.000000000002,5999.999999999997,3739.9718856193963
2025-02-03,91820.99721214944,87367.80135068568,732.3041916484153,57606.11868231108,0.0,1574.4262957875785,56031.69238652351,3283.7481788859213,59315.44056540943,5999.999999999997,6000.0000000000055,3334.699712870884
2025-02-04,93747.18062415582,90305.82998334516,282.2718387442798,59389.7162113484,108.25345097733357,1301.505301368882,58196.46436095685,1110.6350541532656,59307.09941511012,6000.0000000000055,6000.0,4661.238258611198
2025-02-05,90563.93356533026,89987.83141136309,173.97183060310905,57283.579211630014,356.0161754571698,354.74902698192807,57284.84636010526,683.4670383226808,57968.31339842794,6000.0,6000.000000000001,4782.171391883657
2025-02-06,98135.25239443172,90679.1994299652,92.07732351351137,62738.542563147086,0.0,2829.265926910163,59909.27663623693,346.7410415155785,60256.017677752505,6000.000000000001,6000.000000000001,5785.4357866278515
2025-02-07,88085.47158973542,85369.566264659,0.0,55314.902141208295,171.23787454357,1016.7025927601267,54469.437422991745,0.0,54469.437422991745,6000.000000000001,6000.000000000001,49017.56822948678
2025-02-08,77657.43390502925,79122.50588994776,0.0,47451.98387292461,1564.0155189924014,2.8253577269543317,49013.174034190044,0.0,49013.174034190044,6000.000000000001,5999.999999999999,42974.10670556342
2025-02-09,87381.67549872221,85969.07400130037,752.925182516949,54524.737226226775,0.0,536.7583638936973,53987.97886233307,3570.5696525035337,57558.5485148366,5999.999999999999,6000.000000000003,2625.596053909393
2025-02-10,82751.84827432543,80355.41574124216,1017.264617365955,51376.91819464024,13.739629282008972,835.6345563876622,50555.02326753458,3785.269571886228,54340.292839420814,6000.000000000003,6000.0,2454.542438715959
2025-02-11,85866.19752796649,81669.45638290129,447.41788133334535,53911.04393412144,11.576782372336934,1625.9231536264708,52296.6975628673,1996.3858467267964,54293.083409594095,6000.0,6000.000000000002,2430.906224827054
2025-02-12,87017.57280930376,82896.53121882392,274.91631356819113,54655.714018861094,0.0,1456.356713830527,53199.357305030564,1156.91106393687,54356.26836896743,6000.000000000002,6000.000000000004,3423.4924561535963
2025-02-13,83040.14881033235,80619.09629013015,180.16293581433865,51582.629949282345,382.6232292603289,924.3636892439405,51040.88948929873,514.7588365789015,51555.64832587763,6000.000000000004,6000.0,5043.9968000099
2025-02-14,80318.74104349669,80167.6382497646,0.0,49461.18199441604,1624.722564437961,545.968376045443,50539.93618280856,0.0,50539.93618280856,6000.0,6000.0,46088.3901139872
2025-02-15,80352.03778090954,76455.32619970953,0.0,49066.84281652803,9.731794399453015,1263.8864808093276,47812.68813011816,0.0,47812.68813011816,6000.0,6000.000000000002,42796.56612684297
2025-02-16,81919.39176425175,77591.20553219217,2974.28580664361,50633.081049700486,4.040803444372978,1600.6456857337548,49036.47616741111,12246.125647531597,61282.601814942704,6000.000000000002,5999.999999999998,817.8262885073841
2025-02-17,83571.15751872034,76602.16731818022,1266.667308794999,51417.3079788473,28.859739209936958,2270.992696012092,49175.175022045136,5127.673061456137,54302.848083501274,5999.999999999998,6000.0,2382.2530063866748
2025-02-18,75163.81880888384,77707.23835289493,1234.5837869758439,46368.45860960396,2105.9601762759644,1.1581040621603114,48473.260681817774,4993.7677722995995,53467.028454117375,6000.0,5999.999999999998,2446.7968824561394
2025-02-19,76634.17580566228,78500.76309074441,1061.872869552163,47437.44844377321,1818.2894922257628,0.0,49255.737935998965,3791.2717551998576,53047.00969119882,5999.999999999998,6000.0,2198.9876917456263
2025-02-20,81989.02829366422,80025.95064664342,400.0984847522872,50535.82205420732,329.7912891818078,649.0838694648393,50216.52947392428,1485.1433152463137,51701.672789170596,6000.0,6000.0,5078.926796351698
2025-02-21,74387.11611437763,75829.37404527956,0.0,45482.96407979891,1682.83738717604,46.456175715894105,47119.34529125906,0.0,47119.34529125906,6000.0,5999.999999999997,45951.21851584393
2025-02-22,74832.27773597249,74595.83830348749,33.33363442922064,45336.19242543445,110.32538415245739,96.31881580736788,45350.19899377954,71.26731040967373,45421.46630418921,5999.999999999997,6000.0,42389.71787623403
2025-02-23,74835.72687551109,73781.85143822909,3186.6466323517825,45478.398867500706,402.23188918795523,525.6473034175093,45354.983453271154,12486.52185208074,57841.50530535189,6000.0,6000.000000000001,1039.5731507939856
2025-02-24,74049.2521173332,75055.85530551213,947.439574890524,45746.881888106975,779.4139422932012,35.83438725500532,46490.46144314518,4174.131246878271,50664.59269002345,6000.000000000001,6000.000000000001,3455.861109632888
2025-02-25,77550.80805606538,73421.58602354492,651.6651118706598,47574.59697579801,136.27491136267804,1395.7525451755905,46315.1193419851,2450.7136340192806,48765.83297600438,6000.000000000001,6000.000000000004,4048.539647605655
2025-02-26,72189.23713722493,74708.54899077027,909.5995650505815,44016.9531808278,2548.2933796447414,7.32259023418,46557.923970238364,3256.859082096503,49814.78305233487,6000.000000000004,6000.0,2500.4402559811647
2025-02-27,74251.74102644055,74900.77779127433,386.58643772564574,45543.536695520226,1306.3772124859024,98.84803716024453,46751.06587084589,1613.088299520513,48364.1541703664,6000.0,6000.0,3948.6396925090685
2025-02-28,71446.00641966,73229.14333821386,0.0,43287.497229834786,1780.5935860759269,0.0,45068.09081591072,0.0,45068.09081591072,6000.0,6000.000000000002,45675.29605082157
2025-03-01,78656.25595898894,75158.85251301539,0.0,48212.607917408124,2.642889822049925,1089.42887924055,47125.82192798962,0.0,47125.82192798962,6000.000000000002,6000.000000000004,47069.057311086144
2025-03-02,78458.15071276706,79671.76586174697,903.2661023795893,47940.937292052324,1758.1176326916448,79.92352242859448,49619.13140231538,4236.383603802756,53855.51500611814,6000.000000000004,5999.999999999997,3548.0546228701924
2025-03-03,80709.74637615519,78726.76840948593,1064.549318116075,49408.00636259386,1262.8558718664744,829.8510457696082,49841.01118869072,4170.506245603923,54011.51743429464,5999.999999999997,6000.000000000001,3341.206936100101
2025-03-04,74023.58665928112,75927.3110600101,1062.4263228182485,45394.431831250826,1933.1019572102016,0.0,47327.53378846103,3350.844438503958,50678.37822696498,6000.000000000001,6000.000000000002,3431.3638488525335
2025-03-05,79171.26617626718,75718.92820483539,291.34573260023893,48708.037390473124,0.0,1095.6932110388052,47612.34417943432,935.7944818419438,48548.138661276265,6000.000000000002,5999.999999999996,5464.834631109681
2025-03-06,74462.61404286016,75566.2364152158,156.72134216524302,45589.78828351975,1316.6217901372993,20.303525002439308,46886.106548654614,527.3745345620782,47413.48108321669,5999.999999999996,5999.999999999999,5312.654582013407
2025-03-07,76597.8209119883,73700.21018709449,0.0,47059.333719686765,2.255852901735283,989.2959952846174,46072.293577303884,0.0,46072.293577303884,5999.999999999999,6000.0,48364.47193438882
2025-03-08,68157.49092696342,68601.12625359482,0.0,40648.28576580858,975.9596387424336,86.80471835389059,41537.44068619712,0.0,41537.44068619712,6000.0,6000.000000000001,45327.22837927131
2025-03-09,73778.17351817715,68629.1184028943,1247.1635243359617,44428.02781604697,0.0,1436.3488149221214,42991.679001124845,5104.1400904746115,48095.81909159946,6000.000000000001,6000.0,2281.2706421287157
