date,interval,price_yuan_per_kwh,load_kw,pv_kw,Q_kwh,C_kwh,D_kwh,E_kwh,U_kwh,S_start_kwh,S_end_kwh
2025-02-01,00:00-00:10,0.4248,2532.1822,0.0,1295.9837805959874,833.333333333333,0.0,0.0,40.6200805959877,1199.9999999999995,1949.9999999999993
2025-02-01,00:10-00:20,0.4245,2492.4439,0.0,1303.8673905261899,833.3333333333333,0.0,0.0,55.126740526189906,1949.9999999999993,2699.999999999999
2025-02-01,00:20-00:30,0.4269,2464.3,0.0,1318.1314326927513,833.3333333333333,0.0,0.0,74.08143269275138,2699.999999999999,3449.9999999999995
2025-02-01,00:30-00:40,0.4272,2581.7688,0.0,1328.4301659332573,833.3333333333333,0.0,0.0,64.80203259992413,3449.9999999999995,4200.0
2025-02-01,00:40-00:50,0.4271,2546.4635,0.0,1345.610552480746,833.3333333333333,0.0,0.0,87.86663581407947,4200.0,4950.0
2025-02-01,00:50-01:00,0.4285,2436.31,0.0,1356.924965799274,833.3333333333333,0.0,0.0,117.53996579927411,4950.0,5700.0
2025-02-01,01:00-01:10,0.4311,2620.5011,0.0,1163.8314003118207,666.6666666666677,0.0,0.0,60.41455031181977,5700.0,6300.0
2025-02-01,01:10-01:20,0.4302,2710.7861,0.0,1332.3241344384544,833.3333333333333,0.0,0.0,47.19311777178791,6300.0,7050.0
2025-02-01,01:20-01:30,0.4279,2676.48,0.0,1320.729187480824,833.3333333333333,0.0,0.0,41.31585414749088,7050.0,7800.0
2025-02-01,01:30-01:40,0.4312,2830.598,0.0,502.885080513313,0.0,0.0,0.0,31.11874717997972,7800.0,7800.0
2025-02-01,01:40-01:50,0.4333,2688.1558,0.0,535.680636665557,0.0,0.0,0.0,87.65466999889037,7800.0,7800.0
2025-02-01,01:50-02:00,0.4311,2384.42,0.0,1387.3107402336004,833.3333333333333,0.0,0.0,156.57407356693375,7800.0,8550.0
2025-02-01,02:00-02:10,0.4293,2604.5438,0.0,1358.139889146919,833.3333333333333,0.0,0.0,90.7159224802524,8550.0,9300.0
2025-02-01,02:10-02:20,0.4324,2943.3655,0.0,539.0895311352646,0.0,0.0,0.0,48.52861446859794,9300.0,9300.0
2025-02-01,02:20-02:30,0.4367,3019.32,0.0,517.7181254198919,0.0,0.0,0.0,14.498125419891835,9300.0,9300.0
2025-02-01,02:30-02:40,0.4348,2844.4369,0.0,538.0294012357376,0.0,0.0,0.0,63.95658456907091,9300.0,9300.0
2025-02-01,02:40-02:50,0.4335,2768.3064,0.0,546.6361918429453,0.0,0.0,0.0,85.25179184294535,9300.0,9300.0
2025-02-01,02:50-03:00,0.4357,2861.65,0.0,554.9697467941425,0.0,0.0,0.0,78.02808012747579,9300.0,9300.0
2025-02-01,03:00-03:10,0.4374,2900.3973,0.0,538.7837826555141,0.0,0.0,0.0,55.38423265551404,9300.0,9300.0
2025-02-01,03:10-03:20,0.4371,2919.6115,0.0,539.1151254527437,0.0,0.0,0.0,52.51320878607697,9300.0,9300.0
2025-02-01,03:20-03:30,0.4356,2993.09,0.0,549.5424060096836,0.0,0.0,0.0,50.69407267635029,9300.0,9300.0
2025-02-01,03:30-03:40,0.4353,3109.8584,0.0,539.793477917406,0.0,0.0,0.0,21.48374458407261,9300.0,9300.0
2025-02-01,03:40-03:50,0.436,3054.8008,0.0,537.484810359406,0.0,0.0,0.0,28.351343692739306,9300.0,9300.0
2025-02-01,03:50-04:00,0.4378,2901.7,0.0,565.318293816066,0.0,0.0,0.0,81.70162714939937,9300.0,9300.0
2025-02-01,04:00-04:10,0.4401,2947.1208,0.0,574.2550226798681,0.0,0.0,0.0,83.06822267986814,9300.0,9300.0
2025-02-01,04:10-04:20,0.4389,3027.8717,0.0,590.075318054894,0.0,0.0,0.0,85.43003472156062,9300.0,9300.0
2025-02-01,04:20-04:30,0.4364,3033.47,0.0,567.4661884156612,0.0,0.0,0.0,61.88785508232792,9300.0,9300.0
2025-02-01,04:30-04:40,0.4393,3019.3858,0.0,569.0206735696408,0.0,0.0,0.0,65.78970690297416,9300.0,9300.0
2025-02-01,04:40-04:50,0.4422,3017.0819,0.0014,575.9173008418497,0.0,0.0,0.0,73.07055084184971,9300.0,9300.0
2025-02-01,04:50-05:00,0.4395,2997.85,0.0,566.6893007717273,0.0,0.0,0.0,67.04763410506064,9300.0,9300.0
2025-02-01,05:00-05:10,0.4333,2932.7015,0.0,562.0387752229261,0.0,0.0,0.0,73.25519188959277,9300.0,9300.0
2025-02-01,05:10-05:20,0.4439,2991.1125,0.0199,584.1539394901408,0.0,0.0,0.0,85.63850615680748,9300.0,9300.0
2025-02-01,05:20-05:30,0.4301,3175.34,0.0,1412.3454633719234,833.3333333333333,0.0,0.0,49.7887967052568,9300.0,10050.0
2025-02-01,05:30-05:40,0.3713,3284.4619,0.0,1415.9194493417322,833.3333333333333,0.0,0.0,35.17579934173227,10050.0,10800.0
2025-02-01,05:40-05:50,0.5708,3187.3644,0.2774,571.6629754237898,0.0,-0.0,0.0,40.48180875712316,10800.0,10800.0
2025-02-01,05:50-06:00,0.9099,3065.9,0.0,0.0,0.0,568.4489929719447,0.0,57.46565963861133,10800.0,10168.39000780895
2025-02-01,06:00-06:10,0.9368,3211.1231,0.0,0.0,0.0,577.6877816785644,0.0,42.50059834523108,10168.39000780895,9526.514694832767
2025-02-01,06:10-06:20,0.8758,3203.9961,3.8641,0.0,0.0,594.4202193522517,0.0,61.0648860189184,9526.514694832767,8866.047784441376
2025-02-01,06:20-06:30,0.8759,3027.12,0.0,0.0,0.0,573.2241006037718,0.0,68.70410060377185,8866.047784441376,8229.13211710385
2025-02-01,06:30-06:40,0.8601,3117.3221,0.0,0.0,0.0,605.9976686254984,0.0,86.44398529216505,8229.13211710385,7555.801374186631
2025-02-01,06:40-06:50,0.8442,3398.49,89.6095,0.0,0.0,677.3151402648816,0.0,125.83505693154837,7555.801374186631,6803.22899611454
2025-02-01,06:50-07:00,0.8334,3652.75,340.5,0.0,0.0,611.7737946181884,0.0,59.73212795152176,6803.22899611454,6123.480335427665
2025-02-01,07:00-07:10,0.8092,3703.2843,615.936,0.0,0.0,594.6339441646372,0.0,80.07589416463736,6123.480335427665,5462.775953022512
2025-02-01,07:10-07:20,0.7972,3572.3788,884.9275,0.0,0.0,554.5088736847641,0.0,106.60032368476413,5462.775953022512,4846.654982261663
2025-02-01,07:20-07:30,0.7644,3477.22,1140.675,0.0,0.0,486.1447189854989,0.0,96.72055231883223,4846.654982261663,4306.494183388886
2025-02-01,07:30-07:40,0.6899,3654.0022,1388.0797,206.1948990021141,0.0,237.67392494310215,0.0,66.21507394521626,4306.494183388886,4042.412044563217
2025-02-01,07:40-07:50,0.86,3841.4201,1674.452,0.0,0.0,402.7250160206209,0.0,41.56366602062093,4042.412044563217,3594.939804540305
2025-02-01,07:50-08:00,1.1617,3803.65,2004.1125,0.0,0.0,430.64259334115275,0.0,130.71967667448604,3594.939804540305,3116.448034161246
